episode,total_reward,steps,epsilon,initial_Kp,final_Kp,initial_Kd,final_Kd
319,-1557.3110639753384,5,0.9087235487287647,3.5,3.5,31.5,30.0
320,-1550.9927748545852,5,0.9084509316641461,3.5,4.0,30.0,30.5
321,-1569.0662893436129,4,0.9081783963846469,4.0,4.0,30.5,28.5
322,-1669.2956564303233,5,0.9079059428657316,4.0,4.0,28.5,31.0
323,-1763.0945137214567,6,0.9076335710828719,4.0,4.5,31.0,31.5
324,-1661.0846400555624,5,0.9073612810115471,4.5,4.5,31.5,31.0
325,-1866.346370684232,6,0.9070890726272437,4.5,5.0,31.0,31.0
326,-1653.0948338479268,5,0.9068169459054556,5.0,4.0,31.0,31.5
327,-2255.650401262151,9,0.9065449008216839,4.0,6.0,31.5,31.5
328,-8677.69173371837,100,0.9062729373514374,6.0,17.0,31.5,25.5
329,-2259.8117255637285,100,0.906001055470232,17.0,25.0,25.5,21.0
330,-1286.9567939852107,100,0.9057292551535909,25.0,30.5,21.0,9.0
331,-1067.283571273346,100,0.9054575363770448,30.5,30.5,9.0,4.5
332,-937.8743331339747,100,0.9051858991161318,30.5,31.0,4.5,5.0
333,-1132.8343666578905,100,0.904914343346397,31.0,26.0,5.0,4.5
334,-1300.3076090278798,100,0.9046428690433931,26.0,29.0,4.5,10.0
335,-1074.3960327608313,100,0.9043714761826801,29.0,32.0,10.0,9.5
336,-971.5370727916644,100,0.9041001647398254,32.0,31.5,9.5,4.5
337,-1041.620703211092,100,0.9038289346904035,31.5,32.0,4.5,5.5
338,-1061.212478280423,100,0.9035577860099964,32.0,30.5,5.5,6.5
339,-1409.13067518341,100,0.9032867186741934,30.5,24.0,6.5,2.5
340,-1479.490534185916,100,0.9030157326585911,24.0,29.0,2.5,4.5
341,-875.5547138528901,100,0.9027448279387936,29.0,39.5,4.5,2.0
342,-797.9311538500966,100,0.902474004490412,39.5,31.0,2.0,1.0
343,-962.8784256278607,100,0.902203262289065,31.0,28.5,1.0,5.5
344,-1402.3862946157415,100,0.9019326013103783,28.5,26.5,5.5,3.5
345,-1630.5791873345452,100,0.9016620215299852,26.5,24.0,3.5,8.0
346,-2242.444826257086,100,0.9013915229235262,24.0,18.5,8.0,5.5
347,-2612.713729069938,100,0.9011211054666491,18.5,22.5,5.5,0.0
348,-2114.2041794306165,100,0.9008507691350092,22.5,20.5,0.0,5.5
349,-2128.587513803515,100,0.9005805139042687,20.5,21.0,5.5,3.5
350,-2246.704238020926,100,0.9003103397500974,21.0,23.0,3.5,3.0
351,-1736.2555326018196,100,0.9000402466481724,23.0,21.0,3.0,0.5
352,-1733.3218181257487,100,0.8997702345741779,21.0,26.5,0.5,1.5
353,-1630.8298348456435,100,0.8995003035038057,26.5,21.5,1.5,4.5
354,-2204.2352996039376,100,0.8992304534127546,21.5,21.5,4.5,3.0
355,-1849.3840973389556,100,0.8989606842767308,21.5,25.5,3.0,2.0
356,-1904.2738373201933,100,0.8986909960714479,25.5,22.0,2.0,0.5
357,-2082.3394915970703,100,0.8984213887726265,22.0,23.0,0.5,2.5
358,-1680.6662325164216,100,0.8981518623559946,23.0,25.5,2.5,7.0
359,-1547.100797151049,100,0.8978824167972879,25.5,26.0,7.0,6.0
360,-1307.6890484150374,100,0.8976130520722487,26.0,28.5,6.0,8.0
